lca,lcq,lcp,top,left,right,bott,size,diff
"1324243131424213","................","Jan 21 - Easy/Med 4 x 4 [Random]","4231","3221","1322","1222","4","1"
"3214214314324321","................","Feb 27 - Easy/Med 4 x 4 [Random]","2221","2221","1234","1234","4","1"
"3421413212432314","................","Jun 29 - Easy/Med 4 x 4 [Random]","2134","2133","3321","2221","4","1"
"2134342143121243","................","Nov 15 - Easy/Med 4 x 4 [Random]","3221","3213","1332","2312","4","1"
"1342243142133124","................","Aug 06 - Easy/Med 4 x 4 [Random]","3213","3212","2321","2331","4","1"
"4132234114233214","................","May 04 - Easy/Med 4 x 4 [Random]","1323","1322","3221","2231","4","1"
"1243213434214312","................","Oct 14 - Easy/Med 4 x 4 [Random]","4212","3321","2133","1242","4","1"
"1342241331244231","................","Oct 22 - Easy/Med 4 x 4 [Random]","4213","3221","2213","1222","4","1"
"3142243142131324","................","Oct 17 - Easy/Med 4 x 4 [Random]","2213","2213","2321","2231","4","1"
"1234314243212413","................","Jan 19 - Easy/Med 4 x 4 [Random]","3321","4212","1242","2132","4","1"
"4213314224311324","................","Jul 13 - Easy/Med 4 x 4 [Random]","1222","1223","2231","4231","4","1"
"3142423124131324","................","Oct 18 - Easy/Med 4 x 4 [Random]","2313","2123","2321","3231","4","1"
"4312123434212143","................","Feb 24 - Easy/Med 4 x 4 [Random]","1232","1422","3132","3212","4","1"
"2143432134121234","................","Jul 11 - Easy/Med 4 x 4 [Random]","2312","2124","2421","3221","4","1"
"4312342112342143","................","Jun 14 - Easy/Med 4 x 4 [Random]","1242","1242","3312","3312","4","1"
"4312243112433124","................","Dec 02 - Easy/Med 4 x 4 [Random]","1233","1232","3321","2321","4","1"
"2341341241231234","................","Sep 24 - Easy/Med 4 x 4 [Random]","3214","3214","2221","2221","4","1"
"1342423131242413","................","Apr 26 - Easy/Med 4 x 4 [Random]","2212","3122","2312","3142","4","1"
"2134342142131342","................","Oct 23 - Easy/Med 4 x 4 [Random]","3221","3213","1322","2213","4","1"
"4321214312343412","................","Jun 25 - Easy/Med 4 x 4 [Random]","1223","1242","4212","2132","4","1"
"4213342113422134","................","Aug 23 - Easy/Med 4 x 4 [Random]","1232","1233","2321","3321","4","1"
"2431132442133142","................","Jan 29 - Easy/Med 4 x 4 [Random]","2122","2312","3122","2413","4","1"
"4132324113242413","................","Sep 06 - Easy/Med 4 x 4 [Random]","1422","1232","3212","3132","4","1"
"1234431234212143","................","Aug 03 - Easy/Med 4 x 4 [Random]","2321","4122","1332","3212","4","1"
"1423231432414132","................","Dec 25 - Easy/Med 4 x 4 [Random]","4122","2321","2123","1422","4","1"
"2314342141321243","................","Sep 25 - Easy/Med 4 x 4 [Random]","3241","3213","1332","2212","4","1"
"4312214312343421","................","Apr 05 - Easy/Med 4 x 4 [Random]","1223","1242","3213","2132","4","1"
"3124421323411432","................","Sep 17 - Easy/Med 4 x 4 [Random]","2421","2132","1223","3123","4","1"
"2143342143121234","................","Nov 02 - Easy/Med 4 x 4 [Random]","3212","2214","2331","2321","4","1"
"2134124334214312","................","Feb 25 - Easy/Med 4 x 4 [Random]","3321","3321","1233","1233","4","1"
"3241413213242413","................","Feb 13 - Easy/Med 4 x 4 [Random]","2313","2132","2312","2142","4","1"
"4321241312343142","................","Mar 19 - Easy/Med 4 x 4 [Random]","1233","1242","4212","2312","4","1"
"1423321423414132","................","Aug 31 - Easy/Med 4 x 4 [Random]","3122","2231","2123","1322","4","1"
"2143321443211432","................","Jun 28 - Easy/Med 4 x 4 [Random]","3412","2212","2143","2122","4","1"
"1324423134122143","................","Aug 29 - Easy/Med 4 x 4 [Random]","2231","3122","1322","3212","4","1"
"3241213414234312","................","Feb 22 - Easy/Med 4 x 4 [Random]","2212","2321","2123","1243","4","1"
"2143143232144321","................","Apr 24 - Easy/Med 4 x 4 [Random]","3212","2221","2314","1232","4","1"
"3124431224311243","................","Mar 29 - Easy/Med 4 x 4 [Random]","2331","2123","1332","3212","4","1"
"1432234141233214","................","Nov 28 - Easy/Med 4 x 4 [Random]","3123","2312","3221","2331","4","1"
"2134432112433412","................","May 07 - Easy/Med 4 x 4 [Random]","2321","3132","1422","2123","4","1"
"1432231432414123","................","Apr 22 - Easy/Med 4 x 4 [Random]","4122","2321","3122","1422","4","1"
"2134421334211342","................","Aug 16 - Easy/Med 4 x 4 [Random]","2321","3123","1232","3213","4","1"
"2134324114234312","................","Apr 11 - Easy/Med 4 x 4 [Random]","3321","3221","1223","1233","4","1"
"2413132432414132","................","Jun 16 - Easy/Med 4 x 4 [Random]","3132","2321","2123","1422","4","1"
"1324214342313412","................","Sep 03 - Easy/Med 4 x 4 [Random]","3221","3212","1232","2133","4","1"
"4321321414322143","................","Mar 01 - Easy/Med 4 x 4 [Random]","1232","1222","4132","3212","4","1"
"4123341212342341","................","Mar 27 - Easy/Med 4 x 4 [Random]","1232","1243","2212","3212","4","1"
"1234341223414123","................","Apr 09 - Easy/Med 4 x 4 [Random]","3221","4231","1222","1322","4","1"
"3124431212432431","................","Jul 30 - Easy/Med 4 x 4 [Random]","2321","2132","1323","2123","4","1"
"1243432121343412","................","Jun 02 - Easy/Med 4 x 4 [Random]","2312","3132","2412","2132","4","1"
"3412213443211243","................","Mar 10 - Easy/Med 4 x 4 [Random]","2132","2313","2142","2312","4","1"
"4123321414322341","................","Dec 13 - Easy/Med 4 x 4 [Random]","1332","1223","2132","3213","4","1"
"1243312424314312","................","Oct 07 - Easy/Med 4 x 4 [Random]","3212","3221","2133","1232","4","1"
"2413314212344321","................","Jul 04 - Easy/Med 4 x 4 [Random]","3122","2241","2214","1232","4","1"
"1243341243212134","................","Aug 28 - Easy/Med 4 x 4 [Random]","3212","3213","2241","2321","4","1"
"2314412314323241","................","Jun 09 - Easy/Med 4 x 4 [Random]","2241","3122","1232","2214","4","1"
"1432432121433214","................","Jul 18 - Easy/Med 4 x 4 [Random]","2123","2122","3421","2321","4","1"
"4123231432411432","................","Mar 12 - Easy/Med 4 x 4 [Random]","1322","1322","2123","3122","4","1"
"2134142343123241","................","Aug 12 - Easy/Med 4 x 4 [Random]","2221","3212","1232","2314","4","1"
"3412124343212134","................","Nov 03 - Easy/Med 4 x 4 [Random]","2123","2313","2241","2321","4","1"
"3214142341322341","................","Apr 04 - Easy/Med 4 x 4 [Random]","2241","2213","1232","2214","4","1"
"3421421321341342","................","Jul 26 - Easy/Med 4 x 4 [Random]","2133","2133","3212","3212","4","1"
"1243431231242431","................","Mar 18 - Easy/Med 4 x 4 [Random]","2312","3122","2313","3122","4","1"
"4321214314323214","................","Mar 20 - Easy/Med 4 x 4 [Random]","1223","1222","4231","2231","4","1"
"3142421313242431","................","May 27 - Easy/Med 4 x 4 [Random]","2413","2132","2213","2122","4","1"
"3412124321344321","................","Oct 03 - Easy/Med 4 x 4 [Random]","2123","2331","2214","1232","4","1"
"3412123421434321","................","Jan 02 - Easy/Med 4 x 4 [Random]","2132","2421","2124","1223","4","1"
"4312124331242431","................","May 05 - Easy/Med 4 x 4 [Random]","1223","1322","3213","3122","4","1"
"3412234141231234","................","Jan 23 - Easy/Med 4 x 4 [Random]","2123","2314","2221","2321","4","1"
"1423234132144132","................","May 24 - Easy/Med 4 x 4 [Random]","4122","2321","2213","1422","4","1"
"2314142331424231","................","Oct 25 - Easy/Med 4 x 4 [Random]","3231","3221","1223","1224","4","1"
"1243312443122431","................","May 15 - Easy/Med 4 x 4 [Random]","3312","3212","2133","2123","4","1"
"2134324143121423","................","Aug 25 - Easy/Med 4 x 4 [Random]","3421","3212","1232","2122","4","1"
"4312213432411423","................","Jul 14 - Easy/Med 4 x 4 [Random]","1232","1322","3122","3122","4","1"
"3214143243212143","................","Feb 07 - Easy/Med 4 x 4 [Random]","2231","2212","1342","2312","4","1"
"1432321421434321","................","Feb 05 - Easy/Med 4 x 4 [Random]","3122","2221","3124","1223","4","1"
"1234241343213142","................","Jul 06 - Easy/Med 4 x 4 [Random]","3221","4212","1242","2313","4","1"
"1342342142132134","................","Aug 04 - Easy/Med 4 x 4 [Random]","3213","3213","2321","2321","4","1"
"2143321414324321","................","Oct 15 - Easy/Med 4 x 4 [Random]","3312","2221","2134","1233","4","1"
"4321124321343412","................","Mar 24 - Easy/Med 4 x 4 [Random]","1223","1332","4212","2132","4","1"
"2143341212344321","................","Nov 29 - Easy/Med 4 x 4 [Random]","3212","2241","2214","1232","4","1"
"2314124341323421","................","Dec 31 - Easy/Med 4 x 4 [Random]","2221","3312","1233","2134","4","1"
"1423213432414312","................","Jun 05 - Easy/Med 4 x 4 [Random]","4132","2321","2123","1222","4","1"
"1234341241232341","................","Jan 27 - Easy/Med 4 x 4 [Random]","3221","4213","1222","2213","4","1"
"2314142341323241","................","Sep 02 - Easy/Med 4 x 4 [Random]","2241","3212","1232","2214","4","1"
"4312214334211234","................","Feb 23 - Easy/Med 4 x 4 [Random]","1223","1224","3231","3221","4","1"
"1432324141232314","................","Oct 10 - Easy/Med 4 x 4 [Random]","3123","2213","3221","2231","4","1"
"3421231412434132","................","Sep 07 - Easy/Med 4 x 4 [Random]","2122","2331","3123","1423","4","1"
"3412123423414123","................","Jan 30 - Easy/Med 4 x 4 [Random]","2132","2431","2122","1322","4","1"
"4312342121341243","................","Dec 07 - Easy/Med 4 x 4 [Random]","1242","1233","3312","4212","4","1"
"2431314242131324","................","Jun 11 - Easy/Med 4 x 4 [Random]","3124","2213","3221","2221","4","1"
"4213134234212134","................","Nov 27 - Easy/Med 4 x 4 [Random]","1322","1323","2231","3221","4","1"
"2134431212433421","................","Oct 06 - Easy/Med 4 x 4 [Random]","2321","3132","1323","2123","4","1"
"4321314212342413","................","Aug 09 - Easy/Med 4 x 4 [Random]","1223","1242","4212","3132","4","1"
"3412214343211234","................","Apr 10 - Easy/Med 4 x 4 [Random]","2123","2214","2241","2321","4","1"
"2431132431424213","................","Feb 11 - Easy/Med 4 x 4 [Random]","3122","2321","3122","1322","4","1"
"1243213434124321","................","Apr 25 - Easy/Med 4 x 4 [Random]","4212","3321","2124","1233","4","1"
"4132321423411423","................","Dec 09 - Easy/Med 4 x 4 [Random]","1422","1232","3122","4122","4","1"
"4231132421433412","................","Aug 27 - Easy/Med 4 x 4 [Random]","1322","1322","3122","2123","4","1"
"3421213412434312","................","Jan 24 - Easy/Med 4 x 4 [Random]","2132","2331","3123","1223","4","1"
"2413312442311342","................","Aug 10 - Easy/Med 4 x 4 [Random]","3142","2213","2132","2212","4","1"
"4132124323143421","................","Apr 19 - Easy/Med 4 x 4 [Random]","1423","1332","3213","2122","4","1"
"2413123431424321","................","Jan 01 - Easy/Med 4 x 4 [Random]","3132","2421","2124","1223","4","1"
"3142243113244213","................","Apr 13 - Easy/Med 4 x 4 [Random]","2212","2231","2312","1342","4","1"
"1234342121434312","................","Mar 06 - Easy/Med 4 x 4 [Random]","3221","4221","1323","1223","4","1"
"1243431224313124","................","May 01 - Easy/Med 4 x 4 [Random]","2312","3122","2331","2231","4","1"
"1423321441322341","................","Apr 06 - Easy/Med 4 x 4 [Random]","3132","2213","2132","2213","4","1"
"2341142341323214","................","Jun 15 - Easy/Med 4 x 4 [Random]","2213","3212","2231","2231","4","1"
"2143423134121324","................","Apr 15 - Easy/Med 4 x 4 [Random]","2312","2123","2321","3231","4","1"
"4231132434122143","................","Aug 07 - Easy/Med 4 x 4 [Random]","1322","1322","3122","3212","4","1"
"4321123434122143","................","Dec 11 - Easy/Med 4 x 4 [Random]","1232","1422","4122","3212","4","1"
"2143123434124321","................","Aug 26 - Easy/Med 4 x 4 [Random]","3312","2421","2124","1233","4","1"
"3214143221434321","................","Mar 03 - Easy/Med 4 x 4 [Random]","2231","2221","1324","1223","4","1"
"1234341243212143","................","Nov 11 - Easy/Med 4 x 4 [Random]","3221","4212","1242","2312","4","1"
"1432432132142143","................","Mar 31 - Easy/Med 4 x 4 [Random]","2122","2122","3412","3412","4","1"
"4213342121341342","................","Apr 20 - Easy/Med 4 x 4 [Random]","1242","1233","2312","4212","4","1"
"2341143241233214","................","Mar 02 - Easy/Med 4 x 4 [Random]","2214","3212","2321","2241","4","1"
"4312342112432134","................","Jun 17 - Easy/Med 4 x 4 [Random]","1233","1233","3321","3321","4","1"
"3124124343122431","................","May 06 - Easy/Med 4 x 4 [Random]","2421","2312","1233","2124","4","1"
"2413134242313124","................","Apr 08 - Easy/Med 4 x 4 [Random]","2122","2312","2231","2431","4","1"
"1324241341323241","................","Feb 26 - Easy/Med 4 x 4 [Random]","3231","3212","1232","2214","4","1"
"2143431212343421","................","Nov 19 - Easy/Med 4 x 4 [Random]","2312","2142","2313","2132","4","1"
"4213312413422431","................","Sep 08 - Easy/Med 4 x 4 [Random]","1332","1232","2123","3123","4","1"
"2431431231241243","................","Dec 06 - Easy/Med 4 x 4 [Random]","2123","2123","3312","3312","4","1"
"4213134221343421","................","Apr 02 - Easy/Med 4 x 4 [Random]","1322","1332","2213","2132","4","1"
"1243213443213412","................","Jan 14 - Easy/Med 4 x 4 [Random]","3312","3312","2142","2142","4","1"
"2341123434124123","................","Mar 26 - Easy/Med 4 x 4 [Random]","3212","3421","2122","1232","4","1"
"3241431214232134","................","Dec 04 - Easy/Med 4 x 4 [Random]","2314","2123","2321","2221","4","1"
"3412123441232341","................","Feb 08 - Easy/Med 4 x 4 [Random]","2132","2413","2122","2213","4","1"
"2134124343213412","................","Sep 09 - Easy/Med 4 x 4 [Random]","2421","3312","1242","2133","4","1"
"2341413232141423","................","Oct 09 - Easy/Med 4 x 4 [Random]","2213","3122","2312","3132","4","1"
"2143123434214312","................","Jul 02 - Easy/Med 4 x 4 [Random]","3312","2421","2133","1242","4","1"
"4123123434122341","................","Jul 08 - Easy/Med 4 x 4 [Random]","1332","1423","2122","3213","4","1"
"2431134231244213","................","Oct 02 - Easy/Med 4 x 4 [Random]","3123","2321","3212","1332","4","1"
"3412412312342341","................","Mar 30 - Easy/Med 4 x 4 [Random]","2143","2143","2212","2212","4","1"
"3241143223144123","................","Apr 27 - Easy/Med 4 x 4 [Random]","2213","2231","2312","1332","4","1"
"4132324123141423","................","Aug 18 - Easy/Med 4 x 4 [Random]","1422","1232","3212","4122","4","1"
"2134134242133421","................","May 13 - Easy/Med 4 x 4 [Random]","2321","3312","1223","2123","4","1"
"3241413224131324","................","Apr 01 - Easy/Med 4 x 4 [Random]","2214","2123","2321","3231","4","1"
"3412432121341243","................","Jul 31 - Easy/Med 4 x 4 [Random]","2142","2133","2412","3312","4","1"
"1243231434214132","................","Jan 09 - Easy/Med 4 x 4 [Random]","4312","3321","2133","1222","4","1"
"1243342121344312","................","Nov 06 - Easy/Med 4 x 4 [Random]","3212","3231","2313","1232","4","1"
"4321124334122134","................","Feb 20 - Easy/Med 4 x 4 [Random]","1223","1323","4221","3221","4","1"
"3124241313424231","................","May 21 - Easy/Med 4 x 4 [Random]","2221","2231","1223","1324","4","1"
"1234412323413412","................","Jan 28 - Easy/Med 4 x 4 [Random]","2321","4132","1222","2123","4","1"
"4321341212432134","................","May 26 - Easy/Med 4 x 4 [Random]","1224","1233","4221","3321","4","1"
"4213312423411432","................","Dec 16 - Easy/Med 4 x 4 [Random]","1332","1232","2123","4122","4","1"
"3124421314322341","................","Jul 12 - Easy/Med 4 x 4 [Random]","2331","2123","1232","2214","4","1"
"3124423113422413","................","Feb 14 - Easy/Med 4 x 4 [Random]","2431","2132","1322","2122","4","1"
"2314143232414123","................","Feb 04 - Easy/Med 4 x 4 [Random]","3231","3221","1322","1322","4","1"
"3241142343122134","................","Jul 15 - Easy/Med 4 x 4 [Random]","2213","2213","2231","2321","4","1"
"2143341243211234","................","May 11 - Easy/Med 4 x 4 [Random]","3212","2214","2241","2321","4","1"
"1423231431424231","................","Nov 08 - Easy/Med 4 x 4 [Random]","4122","2321","2123","1323","4","1"
"3241412314322314","................","Mar 22 - Easy/Med 4 x 4 [Random]","2213","2123","2231","2231","4","1"
"1342421321343421","................","Oct 01 - Easy/Med 4 x 4 [Random]","2213","3132","2213","2132","4","1"
"2143431234211234","................","Mar 05 - Easy/Med 4 x 4 [Random]","2312","2124","2331","3221","4","1"
"3421214343121234","................","Sep 28 - Easy/Med 4 x 4 [Random]","2123","2214","3231","2321","4","1"
"1432234142133124","................","Jul 05 - Easy/Med 4 x 4 [Random]","3123","2312","3221","2421","4","1"
"2134124343123421","................","Jun 20 - Easy/Med 4 x 4 [Random]","2421","3312","1233","2124","4","1"
"2431134242133124","................","Jul 16 - Easy/Med 4 x 4 [Random]","2124","2312","3221","2421","4","1"
"3214142323414132","................","Mar 25 - Easy/Med 4 x 4 [Random]","2231","2231","1223","1323","4","1"
"4132342123141243","................","Jun 30 - Easy/Med 4 x 4 [Random]","1222","1233","3312","4312","4","1"
"4231341213242143","................","Jun 24 - Easy/Med 4 x 4 [Random]","1223","1232","3212","3312","4","1"
"2431124331244312","................","Jul 01 - Easy/Med 4 x 4 [Random]","3123","2321","3213","1232","4","1"
"1324241332414132","................","May 31 - Easy/Med 4 x 4 [Random]","4221","3221","1223","1323","4","1"
"3214432114322143","................","Apr 23 - Easy/Med 4 x 4 [Random]","2341","2122","1432","2212","4","1"
"3214432121431432","................","Jul 03 - Easy/Med 4 x 4 [Random]","2331","2122","1423","3123","4","1"
"2143342112344312","................","Aug 30 - Easy/Med 4 x 4 [Random]","3212","2241","2313","1232","4","1"
"4312213414233241","................","Jun 10 - Easy/Med 4 x 4 [Random]","1232","1322","3122","2213","4","1"
"2143143243213214","................","Jul 10 - Easy/Med 4 x 4 [Random]","2212","2212","2341","2341","4","1"
"3421421313422134","................","Feb 03 - Easy/Med 4 x 4 [Random]","2123","2133","3221","2321","4","1"
"2431431212433124","................","May 09 - Easy/Med 4 x 4 [Random]","2124","2132","3321","2421","4","1"
"3124243112434312","................","May 03 - Easy/Med 4 x 4 [Random]","2231","2231","1323","1223","4","1"
"2431124343123124","................","Aug 20 - Easy/Med 4 x 4 [Random]","2123","2312","3231","2321","4","1"
"4231314213242413","................","Dec 03 - Easy/Med 4 x 4 [Random]","1323","1232","3212","3132","4","1"
"4321321421431432","................","Apr 30 - Easy/Med 4 x 4 [Random]","1222","1222","4123","4123","4","1"
"1342213442133421","................","Jan 06 - Easy/Med 4 x 4 [Random]","3212","3312","2123","2133","4","1"
"3421213442131342","................","Feb 06 - Easy/Med 4 x 4 [Random]","2132","2313","3122","2213","4","1"
"2134431232411423","................","Jun 06 - Easy/Med 4 x 4 [Random]","2321","3122","1322","3122","4","1"
"4123234112343412","................","Oct 08 - Easy/Med 4 x 4 [Random]","1322","1342","2212","2132","4","1"
"2134124334124321","................","Feb 16 - Easy/Med 4 x 4 [Random]","3321","3321","1224","1224","4","1"
"4123324123141432","................","May 25 - Easy/Med 4 x 4 [Random]","1422","1232","2213","4122","4","1"
"1432231441233241","................","Sep 30 - Easy/Med 4 x 4 [Random]","3122","2312","3122","2313","4","1"
"4312342121431234","................","May 19 - Easy/Med 4 x 4 [Random]","1233","1224","3321","4221","4","1"
"2134432134121243","................","Jun 12 - Easy/Med 4 x 4 [Random]","2321","3123","1422","3212","4","1"
"1432214332144321","................","Jun 03 - Easy/Med 4 x 4 [Random]","4123","2221","3214","1222","4","1"
"1432234132144123","................","Apr 28 - Easy/Med 4 x 4 [Random]","4122","2321","3212","1422","4","1"
"2431134232144123","................","May 08 - Easy/Med 4 x 4 [Random]","3123","2321","3212","1422","4","1"
"2341123441233412","................","Nov 23 - Easy/Med 4 x 4 [Random]","2212","3412","2122","2143","4","1"
"4132342112432314","................","Jul 19 - Easy/Med 4 x 4 [Random]","1223","1233","3321","3221","4","1"
"3412214312344321","................","Jul 21 - Easy/Med 4 x 4 [Random]","2123","2241","2214","1232","4","1"
"2314142342313142","................","Nov 25 - Easy/Med 4 x 4 [Random]","2241","3212","1232","2313","4","1"
"1234412334122341","................","May 02 - Easy/Med 4 x 4 [Random]","2221","4123","1222","3214","4","1"
"4321143221433214","................","Jun 22 - Easy/Med 4 x 4 [Random]","1234","1222","4321","2221","4","1"
"2413132431424231","................","Nov 05 - Easy/Med 4 x 4 [Random]","3132","2321","2123","1323","4","1"
"4132324124131324","................","Oct 26 - Easy/Med 4 x 4 [Random]","1323","1223","3221","4221","4","1"
